Issue Type,Summary,Description,Epic Name,Parent,Priority,Story Points,Labels,Components,Sprint,Assignee Role
Epic,E1 Inner Loop and Platform Foundation,"Secure Codespace to Databricks workflow with governed execution and environment reproducibility.",E1 Inner Loop and Platform Foundation,,Highest,34,"thesis,databricks,platform,phase-1",Platform,,DE+PE
Epic,E2 Bronze Ingestion and Source Integration,"Reliable ingestion for IoT and transactional-style sources into Bronze using incremental patterns.",E2 Bronze Ingestion and Source Integration,,Highest,42,"thesis,ingestion,bronze,phase-2",Ingestion,,DE
Epic,E3 Silver Normalization German Constraints,"Trusted Silver datasets with deterministic German normalization and regional harmonization.",E3 Silver Normalization German Constraints,,Highest,39,"thesis,silver,german-data,phase-3",Transformation,,AE
Epic,E4 Gold Analytics and SCD Type 2,"Historically correct Gold marts with SCD Type 2 and SLA-aware metrics.",E4 Gold Analytics and SCD Type 2,,Highest,34,"thesis,gold,scd2,phase-4",Analytics,,AE
Epic,E5 Predictive Intelligence,"Delay-risk prediction, route segmentation, and model threshold monitoring in Databricks.",E5 Predictive Intelligence,,High,29,"thesis,ml,prediction,phase-5",ML,,MLE+AE
Epic,E6 Quality Observability and CI CD,"Production controls with quality checks, lineage and freshness monitoring, and PR gates.",E6 Quality Observability and CI CD,,Highest,37,"thesis,quality,observability,cicd,phase-6",Quality,,DQE+PE
Epic,E7 BI and Decision Experience,"Stakeholder-facing risk map and supplier scorecards for tactical and strategic decisions.",E7 BI and Decision Experience,,High,21,"thesis,bi,decisioning,phase-7",BI,,BIA
Epic,E8 Thesis Packaging and Defense Assets,"Defense-ready narrative, artifacts, and demo runbook aligned to implementation evidence.",E8 Thesis Packaging and Defense Assets,,Highest,24,"thesis,documentation,defense,phase-8",Documentation,,PTO+AE
Story,BL-001 Configure Codespace secrets for Databricks auth,"As an engineer, configure host token and http path securely with no plaintext credentials.",,E1 Inner Loop and Platform Foundation,Highest,5,"must,security,phase-1",Platform,SCR Sprint 1 - Platform Foundations,PE
Story,BL-002 Configure dbt-databricks and validate connectivity,"As an analytics engineer, establish remote dbt execution with successful dbt debug.",,E1 Inner Loop and Platform Foundation,Highest,5,"must,dbt,phase-1",Transformation,SCR Sprint 1 - Platform Foundations,AE
Story,BL-003 Initialize Unity Catalog dev and prod,"Create dev and prod catalogs with baseline permissions and discoverability.",,E1 Inner Loop and Platform Foundation,Highest,8,"must,unity-catalog,phase-2",Platform,SCR Sprint 2 - Core Ingestion MVP,PE
Story,BL-004 Build reproducible devcontainer for core tooling,"Provide pinned tooling for dbt, cli, and reproducible startup.",,E1 Inner Loop and Platform Foundation,High,5,"must,devcontainer,phase-1",Platform,SCR Sprint 1 - Platform Foundations,PE
Story,BL-005 Define source landing conventions,"Create naming and folder conventions for traceable ingestion.",,E2 Bronze Ingestion and Source Integration,High,3,"must,ingestion,phase-1",Ingestion,SCR Sprint 1 - Platform Foundations,DE
Story,BL-006 Implement IoT heartbeat file emitter,"Generate incremental heartbeat files from simulation script.",,E2 Bronze Ingestion and Source Integration,Highest,5,"must,iot,phase-2",Ingestion,SCR Sprint 2 - Core Ingestion MVP,DE
Story,BL-007 Configure Databricks Autoloader for IoT files,"Detect and ingest new files incrementally with checkpointing.",,E2 Bronze Ingestion and Source Integration,Highest,8,"must,autoloader,phase-2",Ingestion,SCR Sprint 2 - Core Ingestion MVP,DE
Story,BL-008 Run Postgres in Docker for source simulation,"Simulate transactional source for supplier and route entities.",,E2 Bronze Ingestion and Source Integration,Medium,5,"should,postgres,phase-3",Ingestion,SCR Sprint 3 - Source Heterogeneity Extension,DE
Story,BL-009 Configure Airbyte Postgres to Bronze sync,"Implement initial and incremental connector sync to Databricks Bronze.",,E2 Bronze Ingestion and Source Integration,Medium,8,"should,airbyte,phase-3",Ingestion,SCR Sprint 3 - Source Heterogeneity Extension,DE
