Project Key,Issue Type,Summary,Description,Priority,Story Points,Labels,Components,Sprint,Epic Name,Parent,Assignee Role,Team,Environment
SCR,Epic,E1 Inner Loop and Platform Foundation,"Secure Codespace to Databricks workflow with governed execution and environment reproducibility.",Highest,34,"thesis,databricks,platform,phase-1",Platform,,E1 Inner Loop and Platform Foundation,,DE+PE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Epic,E2 Bronze Ingestion and Source Integration,"Reliable ingestion for IoT and transactional-style sources into Bronze using incremental patterns.",Highest,42,"thesis,ingestion,bronze,phase-2",Ingestion,,E2 Bronze Ingestion and Source Integration,,DE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Epic,E3 Silver Normalization German Constraints,"Trusted Silver datasets with deterministic German normalization and regional harmonization.",Highest,39,"thesis,silver,german-data,phase-3",Transformation,,E3 Silver Normalization German Constraints,,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Epic,E4 Gold Analytics and SCD Type 2,"Historically correct Gold marts with SCD Type 2 and SLA-aware metrics.",Highest,34,"thesis,gold,scd2,phase-4",Analytics,,E4 Gold Analytics and SCD Type 2,,AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Epic,E5 Predictive Intelligence,"Delay-risk prediction, route segmentation, and model threshold monitoring in Databricks.",High,29,"thesis,ml,prediction,phase-5",ML,,E5 Predictive Intelligence,,MLE+AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Epic,E6 Quality Observability and CI CD,"Production controls with quality checks, lineage and freshness monitoring, and PR gates.",Highest,37,"thesis,quality,observability,cicd,phase-6",Quality,,E6 Quality Observability and CI CD,,DQE+PE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Epic,E7 BI and Decision Experience,"Stakeholder-facing risk map and supplier scorecards for tactical and strategic decisions.",High,21,"thesis,bi,decisioning,phase-7",BI,,E7 BI and Decision Experience,,BIA,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Epic,E8 Thesis Packaging and Defense Assets,"Defense-ready narrative, artifacts, and demo runbook aligned to implementation evidence.",Highest,24,"thesis,documentation,defense,phase-8",Documentation,,E8 Thesis Packaging and Defense Assets,,PTO+AE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-001 Configure Codespace secrets for Databricks auth,"As an engineer, configure host token and http path securely with no plaintext credentials.",Highest,5,"must,security,phase-1",Platform,SCR Sprint 1 - Platform Foundations,,E1 Inner Loop and Platform Foundation,PE,Supply-Chain-Resilience,"Codespace->Databricks"
SCR,Story,BL-002 Configure dbt-databricks and validate connectivity,"As an analytics engineer, establish remote dbt execution with successful dbt debug.",Highest,5,"must,dbt,phase-1",Transformation,SCR Sprint 1 - Platform Foundations,,E1 Inner Loop and Platform Foundation,AE,Supply-Chain-Resilience,"Codespace->Databricks"
